kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_steff,koi_srad,koi_slogg,koi_kepmag
"K07323.01","FALSE POSITIVE",0.93373711,3.151,12.9,0.121,0.37,6300.00,1.0250,4.391,12.720
"K07325.01","FALSE POSITIVE",45.43324862,14.242,414352,0.489,77.25,5731.00,1.0800,4.359,14.774
"K07326.01","FALSE POSITIVE",1.398890216,4.9641,66012,1.123,57.48,6134.00,1.0510,4.378,14.855
"K07450.01","FALSE POSITIVE",12.314402323,5.8903,393895,0.506,75.21,6247.00,1.0660,4.433,14.760
"K07451.01","FALSE POSITIVE",0.691823991,5.965,165.9,0.3501,1.23,5226.00,0.9620,4.404,15.247
"K07452.01","FALSE POSITIVE",25.431861399,5.23771,46564.7,1.126,43.42,5754.00,0.9000,4.458,14.164
"K07453.01","FALSE POSITIVE",3.98855869,1.467,214.1,0.1671,2.4,5791.00,1.6460,4.057,13.035
"K07454.01","FALSE POSITIVE",20.413052415,4.4621,92672.5,0.777,35.03,5941.00,0.9630,4.487,14.874
"K07456.01","FALSE POSITIVE",0.527679032,1.395,84.1,0.284,0.79,5799.00,0.8600,4.548,15.356
"K07457.01","FALSE POSITIVE",0.527673075,1.3693,26.1,0.134,0.42,5367.00,0.8280,4.514,9.694
"K06271.01","FALSE POSITIVE",2.44295727,4.0656,15298,1.242,44.35,5780.00,1.0000,4.438,16.389
"K06272.01","FALSE POSITIVE",3.31587688,3.152,185.6,0.688,1.27,5385.00,0.8750,4.476,15.539
"K06273.01","FALSE POSITIVE",49.788613011,7.41807,219219,0.753,32.57,3892.00,0.5420,4.708,15.591
"K06275.01","FALSE POSITIVE",1.38607973,8.7,64.6,0.0198,0.6,5261.00,0.7680,4.562,14.132
"K06277.01","FALSE POSITIVE",0.648868342,2.82428,34769.5,1.172,72.32,6531.00,1.5240,4.120,11.471
"K06278.01","FALSE POSITIVE",5.088582739,7.6066,448.9,1.195,46.02,7514.00,1.9550,4.052,13.180
"K06403.01","FALSE POSITIVE",0.792023257,3.2604,176.6,0.205,0.81,4447.00,0.6250,4.632,14.498
"K06404.01","FALSE POSITIVE",10.643743766,6.29783,436506,0.353,47.87,5282.00,0.6940,4.578,14.343
"K06405.01","FALSE POSITIVE",1.7317958,2.924,60.6,0.445,1.19,5691.00,1.5080,4.095,15.019
"K06406.01","FALSE POSITIVE",8.65298599,1.549,313.8,0.529,1.36,5210.00,0.7490,4.538,15.415
"K06407.01","FALSE POSITIVE",1.19563447,5.3934,8245,0.861,14.94,5583.00,1.4130,4.115,14.327
"K06408.01","FALSE POSITIVE",0.550537628,1.216,72,0.516,1.93,8098.00,2.1990,4.013,11.456
"K06410.01","FALSE POSITIVE",2.53470797,20.143,328.2,1.187,50.25,6440.00,2.2540,3.874,13.920
"K06527.01","FALSE POSITIVE",0.530799654,3.487,318.5,0.0126,2.92,6534.00,1.6220,4.128,12.328
"K06531.01","FALSE POSITIVE",1.0429419,7.22,412,0.922,2.49,5780.00,1.0000,4.438,11.510
"K06533.01","FALSE POSITIVE",6.12650913,15.43,2434,0.919,9.08,6881.00,1.5340,4.252,12.625
"K06534.01","FALSE POSITIVE",0.720589427,4.329,70,0.64,1.95,8497.00,2.2110,4.070,12.051
"K06661.01","FALSE POSITIVE",0.573036404,1.3176,4174.5,0.9279,9.97,5745.00,1.1960,4.290,13.302
"K06662.01","FALSE POSITIVE",0.643171495,2.31285,41160,1.214,54.03,5899.00,0.9890,4.387,15.147
"K06663.01","FALSE POSITIVE",14.086776961,10.1279,106837,0.603,65.6,7138.00,1.8900,4.062,12.271
"K06665.01","FALSE POSITIVE",1.872620976,1.7626,1530.6,1.242,31.43,6031.00,1.0040,4.427,14.337
"K06667.01","FALSE POSITIVE",17.527826808,5.78491,347519,0.567,49.36,5079.00,0.7320,4.579,12.534
"K06668.01","FALSE POSITIVE",27.467217305,4.17961,71766.5,1.076,38.87,5503.00,0.7420,4.536,13.182
"K06796.01","FALSE POSITIVE",40.879068,6.562,499.2,0.988,3.35,6072.00,0.9230,4.510,15.823
"K06797.01","FALSE POSITIVE",0.566802325,1.842,288.4,0.3857,1.4,5233.00,0.8240,4.489,14.905
"K06799.01","FALSE POSITIVE",0.634946497,2.40541,426554,0.442,52.75,4446.00,0.7370,4.567,14.791
"K06800.01","FALSE POSITIVE",5.077746556,3.1718,18836.7,1.211,54.93,6174.00,1.2710,4.235,12.847
"K06801.01","FALSE POSITIVE",2.00383703,3.473,42.3,0.268,0.67,6045.00,1.0280,4.439,14.467
"K06802.01","FALSE POSITIVE",5.321224925,7.48973,98872.1,1.003,40.62,5787.00,0.7580,4.544,15.013
"K06803.01","FALSE POSITIVE",2.340534383,4.43017,241360,0.71,69.55,6300.00,1.1360,4.349,14.390
"K06926.01","FALSE POSITIVE",0.580724809,1.82,64.2,0.292,0.75,5989.00,0.9330,4.492,14.569
"K06928.01","FALSE POSITIVE",1.72933255,3.631,29.7,0.586,0.69,5921.00,1.2110,4.220,13.070
"K06929.01","FALSE POSITIVE",1.729338354,6.8524,140158,0.887,139.36,5587.00,2.5530,3.754,11.679
"K06930.01","FALSE POSITIVE",0.567493852,1.35349,7984,1.275,65.47,6370.00,1.5480,4.053,13.205
"K06932.01","FALSE POSITIVE",2.105238039,5.23595,94675,0.83,75.1,5947.00,1.8850,3.943,13.796
"K06933.01","FALSE POSITIVE",7.226944171,23.0124,682175,1.233,237.79,6270.00,1.3600,4.199,13.270
"K07059.01","FALSE POSITIVE",31.973311701,13.2105,75053.7,1.35,272.44,7854.00,3.4620,3.669,8.500
"K07062.01","FALSE POSITIVE",20.849919614,13.7687,313094,13.715,2912.48,7355.00,1.9840,4.042,13.040
"K07063.01","FALSE POSITIVE",15.120212531,3.50007,24616.5,1.199,33.11,5232.00,0.7250,4.554,15.166
"K07064.01","FALSE POSITIVE",3.481657589,4.75315,347012,0.245,78.24,6225.00,1.2910,4.191,13.396
"K07065.01","FALSE POSITIVE",0.739769962,1.95901,20729.3,1.212,82.29,6465.00,1.8470,3.947,11.634
"K07066.01","FALSE POSITIVE",6.570421193,4.4698,60118,0.939,33.99,5812.00,0.9080,4.484,15.299
"K07067.01","FALSE POSITIVE",0.541405029,2.7481,327656,0.641,125.64,5096.00,1.7820,3.889,14.771
"K07193.01","FALSE POSITIVE",2.17814186,1.988,127.7,0.012,0.92,5101.00,0.8400,4.506,15.458
